sample_id,project_type,device_name,voltage_level,device_model,asset_id,device_type,problem_reason,event_time,problem_stage,supervision_stage,rule_level,problem_level,text,is_quality_issue,specialty,root_cause_analysis,supervision_opinion,resolved_time,actual_fix,rule_name,stage_name,stage_link,clause_no,checkpoint_no,checkpoint_text,source_unit,data_source,label
real_v1_000011,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,竣工验收,竣工验收,较大,较大,F2间隔压力释放口存在正对巡视通道问题,否,电气设备性能,设计人员未按规范要求设计,F2间隔压力释放口不应正对巡视通道,2025-10-16,F2间隔压力释放口已整改未正对巡视通道,组合电器全过程技术监督实施细则,竣工验收,竣工验收,8.3,8.3.1,8.3.1 压力释放口不应正对巡视通道，应使得有压力的气体或蒸汽逸出时，对在气体绝缘变电站内正在履行其正常运行职责的人员的危害最小。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000012,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备安装,安装调试,较大,较大,F1间隔存在使用麦氏真空计问题,否,电气设备性能,现场施工人员安装不规范,F1间隔禁止使用麦氏真空计,2025-10-16,F1间隔已整改未使用麦氏真空计,组合电器全过程技术监督实施细则,设备安装,安装调试,6.5,6.5.2,6.5.2 禁止使用麦氏真空计。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000013,新建,导线,交流220kV,,,导线,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建13#塔大号侧右相下导线压接管前导线松股。,否,电气设备性能,施工压接质量不良。,施工单位应重新梳理松股的导线。,2025-10-16,施工人员已梳理松股的导线，现已无松股。,导、地线全过程技术监督实施细则,设备安装,安装调试,5.1,5.1.4,5.1.4 切割导线铝股时严禁伤及钢芯。导地线的连接部分不得有线股绞制不良、断股、缺股等缺陷。连接后管口附近不得有明显的松股现象。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000014,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备安装,安装调试,较大,较大,F2间隔快速接地开关未见采用专用接地线接地,否,电气设备性能,现场施工人员安装不规范,F2间隔快速接地开关应采用专用接地线接地,2025-10-16,F2间隔快速接地开关已采用专用接地线接地,组合电器全过程技术监督实施细则,设备安装,安装调试,6.4,6.4.3,6.4.3 电压互感器、避雷器、快速接地开关应采用专用接地线接地。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000015,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备安装,安装调试,较大,较大,F1间隔避雷器未见采用专用接地线接地,否,电气设备性能,现场施工人员安装不规范,F1间隔避雷器应采用专用接地线接地,2025-10-16,F1间隔避雷器已采用专用接地线接地,组合电器全过程技术监督实施细则,设备安装,安装调试,6.4,6.4.3,6.4.3 电压互感器、避雷器、快速接地开关应采用专用接地线接地。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000016,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建#7塔立过程中未保护，D腿距地面6米处一个斜材变形。,否,电气设备性能,施工人员立塔过程中对起吊角铁未保护。,施工单位应更换变形的斜材。,2025-10-16,组塔施工人员已更换变形的斜材。,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.1,6.1.3,6.1.3 杆塔组立过程中，应采取防止构件变形或损坏的措施。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000017,新建,金具,交流220kV,,,接续金具,现场安装,2025-10-13,设备安装,安装调试,较大,较大,新建4#塔中相大号则下线引流压接管弯曲度越过5‰。,否,电气设备性能,施工人员压接质量把控不到位。,施工人员应重新矫正弯曲的压接引流管至2‰以内。,2025-10-16,施工人员已弯曲的压接引流管矫正平直。,金具全过程技术监督实施细则,设备安装,安装调试,6.2,6.2.4,6.2.4 压接后铝管不应有明显弯曲，弯曲度超过2%应校正，无法校正割断重新压接。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000018,新建,杆塔,交流220kV,,,运行杆塔,现场安装,2025-10-13,设备安装,安装调试,一般,一般,新建#16塔未组装的材材轻微弯曲，弯曲度测量为4‰,否,电气设备性能,施工人员运输塔材时挤压造成。,施工人员应重新矫正弯曲的塔材，合格后再组装。,2025-10-16,施工人员已将#16弯曲的塔材冷处理方式扳直,输电杆塔全过程技术监督实施细则,设备安装,安装调试,6.2,6.2.1,6.2.1 对运至桩位的个别角钢，当弯曲度超过2‰，但未超过变形限度时，采用冷矫正法进行矫正，但矫正的角钢不得出现裂纹和锌层脱落。,未知,pytest_processed_1_real|problem_category_rule_v1,安装与施工
real_v1_000019,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F1间隔存在盆式绝缘子涂抹硅脂过量,否,电气设备性能,现场施工人员安装不规范,F1间隔应严格按工艺文件要求涂抹硅脂，避免因硅脂过量造成盆式绝缘子表面闪络,2025-10-16,F1间隔已严格按工艺文件要求涂抹硅脂，避免因硅脂过量造成盆式绝缘子表面闪络,组合电器全过程技术监督实施细则,设备制造,设备采购,4.1,4.1.1,4.1.1 制造厂应严格按工艺文件要求涂抹硅脂，避免因硅脂过量造成盆式绝缘子表面闪络。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000020,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F1间隔未见对GIS及罐式断路器罐体焊缝进行无损探伤检测报告,否,电气设备性能,设备厂家未按要求提供检测报告,F1间隔应对GIS及罐式断路器罐体焊缝进行无损探伤检测报告，保证罐体焊缝100%合格,2025-10-16,F1间隔已对GIS及罐式断路器罐体焊缝进行无损探伤检测报告，保证罐体焊缝100%合格,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.3,4.5.3 生产厂家应对GIS及罐式断路器罐体焊缝进行无损探伤检测，保证罐体焊缝100%合格。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000021,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F2间隔防爆膜喷口存在朝向巡视通道问题,否,电气设备性能,设计人员未按规范要求设计,F2间隔防爆膜喷口不应朝向巡视通道,2025-10-16,F2间隔防爆膜喷口已处理，不朝向巡视通道,组合电器全过程技术监督实施细则,设备制造,设备采购,4.4,4.4.2,4.4.2 装配前应检查并确认防爆膜是否受外力损伤，装配时应保证防爆膜泄压方向正确、定位准确，防爆膜泄压挡板的结构和方向应避免在运行中积水、结冰、误碰。防爆膜喷口不应朝向巡视通道。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000022,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F1间隔导电部件镀银层表面存在粗糙不光滑,否,电气设备性能,现场施工人员安装不规范,F1间隔导电部件镀银层表面应光滑,2025-10-16,F1间隔导电部件镀银层表面已处理光滑,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.2,4.5.2 检查导电部件镀银层应良好、表面光滑、无脱落。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000023,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F2间隔对伸缩节中的环向焊缝未进行100%着色检查,否,电气设备性能,现场施工人员安装不规范,F2间隔对伸缩节中的环向焊缝应进行100%着色检查,2025-10-16,F2间隔对伸缩节中的环向焊缝已进行100%着色检查,组合电器全过程技术监督实施细则,设备制造,设备采购,4.3,4.3.3,4.3.3 对伸缩节中的直焊缝应进行100%的X射线探伤，环向焊缝进行100%着色检查，缺陷等级应不低于JB/T 4730.5规定的Ⅰ级。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000024,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F2间隔未将试验结果随出厂试验报告提交用户,否,电气设备性能,设备厂家未按要求提供试验报告,F2间隔应将试验结果随出厂试验报告提交用户,2025-10-16,F2间隔已将试验结果随出厂试验报告提交用户,组合电器全过程技术监督实施细则,设备制造,设备采购,4.2,4.2.2,4.2.2 252kV及以上瓷空心绝缘子应逐支进行超声纵波探伤检测，由GIS制造厂完成，并将试验结果随出厂试验报告提交用户。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000025,新建,F2间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F2间隔轴承（销）未提供金属材质检测报告,否,电气设备性能,设备厂家未按要求进行检测试验,F2间隔轴承（销）应提供金属材质检测报告,2025-10-16,F2间隔轴承（销）已提供金属材质检测报告,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.1,4.5.1 生产厂家应对金属材料和部件材质进行质量检测，对罐体、传动杆、拐臂、轴承（销）等关键金属部件应按工程抽样开展金属材质成分检测，按批次开展金相试验抽检，并提供相应报告。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000026,新建,,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备采购,设备采购,较大,较大,F3间隔盆式绝缘子存在水平布置问题,否,电气设备性能,设计人员未按规范要求设计,F3间隔盆式绝缘子应尽量避免水平布置,2025-10-16,F3间隔盆式绝缘子已避免水平布置,组合电器全过程技术监督实施细则,设备采购,设备采购,3.4,3.4.2,3.4.2 盆式绝缘子应尽量避免水平布置。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000027,新建,F4间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F4间隔罐体金属材质成分检测未见报告,否,电气设备性能,设备厂家未按要求提供报告,F4间隔罐体金属材质成分检测应提供报告,2025-10-16,F4间隔罐体金属材质成分检测应已提供报告,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.1,4.5.1 生产厂家应对金属材料和部件材质进行质量检测，对罐体、传动杆、拐臂、轴承（销）等关键金属部件应按工程抽样开展金属材质成分检测，按批次开展金相试验抽检，并提供相应报告。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000028,新建,F3间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F3间隔传动杆未开展金属材质成分检测,否,电气设备性能,设备厂家未按要求开展检测试验,F3间隔传动杆应开展金属材质成分检测,2025-10-16,F3间隔传动杆已开展金属材质成分检测,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.1,4.5.1 生产厂家应对金属材料和部件材质进行质量检测，对罐体、传动杆、拐臂、轴承（销）等关键金属部件应按工程抽样开展金属材质成分检测，按批次开展金相试验抽检，并提供相应报告。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000029,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F1间隔拐臂金属材质成分检测抽检不合格,否,电气设备性能,设备厂家未按要求选取合格材料生产,F1间隔拐臂金属材质成分检测应合格,2025-10-16,F1间隔拐臂金属材质成分检测已合格,组合电器全过程技术监督实施细则,设备制造,设备采购,4.5,4.5.1,4.5.1 生产厂家应对金属材料和部件材质进行质量检测，对罐体、传动杆、拐臂、轴承（销）等关键金属部件应按工程抽样开展金属材质成分检测，按批次开展金相试验抽检，并提供相应报告。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000030,新建,,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备采购,设备采购,较大,较大,F2间隔带金属法兰的盆式绝缘子时，未预留窗口用于特高频局部放电检测,否,电气设备性能,设计人员未按规范要求设计,F2间隔带金属法兰的盆式绝缘子时，应预留窗口用于特高频局部放电检测,2025-10-16,F2间隔带金属法兰的盆式绝缘子时，已预留窗口用于特高频局部放电检测,组合电器全过程技术监督实施细则,设备采购,设备采购,3.4,3.4.1,3.4.1 新投运GIS采用带金属法兰的盆式绝缘子时，应预留窗口用于特高频局部放电检测。采用此结构的盆式绝缘子可取消罐体对接处的跨接片，但生产厂家应提供型式试验依据。如需采用跨接片，户外GIS罐体上应有专用跨接部位，禁止通过法兰螺栓直连。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000031,新建,,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备采购,设备采购,较大,较大,F1间隔密度继电器表计应未朝向巡视通道,否,电气设备性能,现场施工人员安装不规范,F1间隔密度继电器表计应应朝向巡视通道,2025-10-16,F1间隔密度继电器表计均已朝向巡视通道,组合电器全过程技术监督实施细则,设备采购,设备采购,3.1,3.1.2,3.1.2 三相分箱的GIS母线及断路器气室，禁止采用管路连接。独立气室（含三相同类型气室通过管路连接）应安装单独的密度继电器，密度继电器表计应朝向巡视通道。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000032,新建,,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备采购,设备采购,较大,较大,F1间隔未根据伸缩节在GIS设备中的作用，选择不同型式的伸缩节,否,电气设备性能,设计人员未按规范要求设计,F1间隔应根据伸缩节在GIS设备中的作用，选择不同型式的伸缩节,2025-10-16,F1间隔已根据伸缩节在GIS设备中的作用，选择不同型式的伸缩节,组合电器全过程技术监督实施细则,设备采购,设备采购,3.5,3.5.1,3.5.1 制造商应根据伸缩节在GIS设备中的作用，选择不同型式的伸缩节（普通安装型、压力平衡型和横向补偿型），并在设备招标技术规范书中明确。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000033,新建,F1间隔,交流110kV,,,组合电器,设备制造工艺,2025-10-15,设备制造,设备采购,较大,较大,F1间隔伸缩节两侧法兰端面对于波纹管本体轴线的垂直度公差大于0.5mm,否,电气设备性能,现场施工人员安装不规范,F1间隔伸缩节两侧法兰端面对于波纹管本体轴线的垂直度公差应不大于0.5mm,2025-10-16,F1间隔伸缩节两侧法兰端面对于波纹管本体轴线的垂直度公差已处理，不大于0.5mm,组合电器全过程技术监督实施细则,设备制造,设备采购,4.3,4.3.1,4.3.1 伸缩节两侧法兰端面平面度公差不大于0.2mm，密封平面的平面度公差不大于0.1mm，伸缩节两侧法兰端面对于波纹管本体轴线的垂直度公差不大于0.5mm。,未知,pytest_processed_1_real|problem_category_rule_v1,采购与制造
real_v1_000034,新建,10kV框架式并联电容器成套装置,交流110kV,,,电力电容器,设备调试,2025-10-13,设备调试,安装调试,较大,较大,未见10kV电容器Ⅰ组冲击合闸试验报告。,否,电气设备性能,电容器冲击合闸试验报告缺漏，并联电容器试验要求落实不到位。,补充开展10kV电容器Ⅰ组冲击合闸试验，并提供试验报告。,2025-10-17,已补充开展10kV电容器Ⅰ组冲击合闸试验，并提供试验报告，做好过程跟踪监督管控。,电容器全过程技术监督实施细则,设备调试,安装调试,7.1,7.1.4,7.1.4 冲击合闸试验：在电网额定电压下，对电力电容器组的冲击合闸试验应进行3次，熔断器不应熔断。,未知,pytest_processed_1_real|problem_category_rule_v1,资料与标识
real_v1_000035,新建,35kV避雷器,交流110kV,YH10W1-51/134,013010000000000078567198,避雷器,设备调试,2025-10-13,设备调试,安装调试,较大,较大,35kV永郑线371间隔线路避雷器泄漏电流表无指示。,否,电气设备性能,避雷器泄漏电流表未调试到位，泄漏电流表校验要求落实不到位。,重新对35kV永郑线371间隔线路避雷器泄漏电流表进行调试校验，确保指示正确。,2025-10-17,已重新对35kV永郑线371间隔线路避雷器泄漏电流表进行调试校验，指示正确，做好过程跟踪监督管控。,避雷器全过程技术监督实施细则,设备调试,安装调试,6.4,6.4.2,6.4.2 泄漏电流表指示良好。,未知,pytest_processed_1_real|problem_category_rule_v1,调试与试验
real_v1_000036,新建,电能量采集终端,交流110kV,,,电能采集设备,设备调试,2025-10-13,设备调试,安装调试,较大,较大,电能量采集终端未与主站联机。,否,电测,采集终端现场调试要求落实不到位。,对电能量采集终端现场调试，确保与主站联机正常。,2025-10-17,已对电能量采集终端现场调试，确保与主站联机正常，做好过程跟踪监督管控。,电测设备全过程技术监督实施细则,设备调试,安装调试,7.1,7.1.1,7.1.1 采集终端上电、通讯检查：终端和主站能否正常联机，能否按要求正确抄读终端参数。,未知,pytest_processed_1_real|problem_category_rule_v1,调试与试验
real_v1_000037,新建,,交流110kV,,,导线,工程设计,2025-10-14,工程设计,工程设计,一般,一般,新设计的新#5-新#6塔与临近110kV输电线路风偏安装距离不足,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，调整位置,1900-01-01,,导、地线全过程技术监督实施细则,工程设计,工程设计,2.3,2.3.1,2.3.1 导线对地面、建筑物、树木、铁路、道路、河流、管道、索道及各种架空线路的距离，应根据导线运行温度40℃（若导线按允许温度80℃设计时，导线运行温度取50℃）情况或覆冰无风情况求得的最大弧垂计算垂直距离，根据最大风情况或覆冰情况求得的最大风偏进行风偏校验。重覆冰区的线路，还应计算导线不均匀覆冰和验算覆冰情况下的弧垂增大。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000038,新建,,交流110kV,,,导线,工程设计,2025-10-14,工程设计,工程设计,一般,一般,新设计的#5-#6塔地线与下方配网线路风偏上扬安全距离不足,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，修改弧垂,1900-01-01,,导、地线全过程技术监督实施细则,工程设计,工程设计,2.3,2.3.1,2.3.1 导线对地面、建筑物、树木、铁路、道路、河流、管道、索道及各种架空线路的距离，应根据导线运行温度40℃（若导线按允许温度80℃设计时，导线运行温度取50℃）情况或覆冰无风情况求得的最大弧垂计算垂直距离，根据最大风情况或覆冰情况求得的最大风偏进行风偏校验。重覆冰区的线路，还应计算导线不均匀覆冰和验算覆冰情况下的弧垂增大。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000039,新建,,交流110kV,,,物理杆,工程设计,2025-10-14,工程设计,工程设计,一般,一般,新设计的直线杆塔未采取有效防鸟措施,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，悬垂串采用第一片伞群加大的设备,1900-01-01,,绝缘子全过程技术监督实施细则,工程设计,工程设计,2.4,2.4.1,2.4.1 鸟害多发区，66～500kV 新建线路设计时应结合涉鸟故障风险分布图，对于鸟害多发区应采取有效的防鸟措施。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000040,新建,,交流110kV,,,物理杆,工程设计,2025-10-14,工程设计,工程设计,一般,一般,新设计的新#2塔处于鸟害区，未为防风偏绝缘子加装防鸟罩,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，加装防鸟罩,1900-01-01,,绝缘子全过程技术监督实施细则,工程设计,工程设计,2.4,2.4.1,2.4.1 鸟害多发区，66～500kV 新建线路设计时应结合涉鸟故障风险分布图，对于鸟害多发区应采取有效的防鸟措施。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000041,新建,,交流110kV,,,导线,工程设计,2025-10-14,工程设计,工程设计,一般,一般,设计阶段未考虑对新#2-新#3塔导线端安装后备线夹,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，加装后备线夹,1900-01-01,,导、地线全过程技术监督实施细则,工程设计,工程设计,2.7,2.7.3,2.7.3在1级舞动区，应在跳线金具设计、螺栓防松、预留或加装防舞装置等方面采取措施。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000042,新建,,交流110kV,,,接地线,工程设计,2025-10-14,工程设计,工程设计,较大,较大,设计的杆塔接地未采取有效防腐措施,否,电气设备性能,设计阶段未考虑土地盐度,联系福州电力设计院有限公司修改设计方案，采取防腐措施,1900-01-01,,线路基础全过程技术监督实施细则,工程设计,工程设计,2.4,2.4.1,2.4.1 对腐蚀严重地区，杆塔和基础设计应采取有针对性的防腐措施。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
real_v1_000043,新建,电能量采集终端,交流110kV,,,电能采集设备,设备调试,2025-10-13,设备调试,安装调试,一般,一般,110kV间隔数字化电能表通信未通。,否,电测,,对110kV间隔数字化电能表开展通讯检查，确保正常通信。,2025-10-17,已对110kV间隔数字化电能表开展通讯检查调试，通信正常。,电测设备全过程技术监督实施细则,设备调试,安装调试,7.2,7.2.1,7.2.1 （适用时）回路状态巡检仪上电、通讯检查：回路状态巡检仪与采集主站是否能正常通信、是否能正确读取绑定所测电能表回路的状态信息。,未知,pytest_processed_1_real|problem_category_rule_v1,调试与试验
real_v1_000044,新建,,交流110kV,,,地线,工程设计,2025-10-14,工程设计,工程设计,一般,一般,新设计杆塔地线采用0度保护角，建议采用-5保护角,否,电气设备性能,,联系福州电力设计院有限公司修改设计方案，采用-5度保护角,1900-01-01,,输电杆塔全过程技术监督实施细则,工程设计,工程设计,2.4,2.4.3,2.4.3 多雷区和山区的线路宜采用小保护角或负保护角的杆塔。,未知,pytest_processed_1_real|problem_category_rule_v1,设计与选型
