sample_id,text,label,device_type,specialty,supervision_stage,event_time,source_unit,data_source
synthetic_v2_验收把关不严_0145,一次设备专业主变压器在大修验收环节中，主变压器相关资料虽已提交，但验收把关流于形式。,验收把关不严,主变压器,一次设备,大修验收,2025-02-06,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0015,土建专业接地网在整改复验环节中，接地网操作记录仅保留结论，未附对应检查明细。,记录台账不规范,接地网,土建,整改复验,2024-01-29,变电运维站,synthetic_v2
synthetic_v2_试验检测缺失_0208,营销运维班反馈，继电保护装置联调联试仅覆盖部分关键风险点，其余项目未见补测；同时报告中已写明整改计划但未说明完成时间。,试验检测缺失,继电保护装置,二次设备,运行操作,2025-05-28,营销运维班,synthetic_v2
synthetic_v2_试验检测缺失_0218,配电专业配电自动化终端在运行维护环节中，配电自动化终端交接试验仅覆盖部分全量回路，其余项目未见补测。,试验检测缺失,配电自动化终端,配电,运行维护,2024-06-08,运维二班,synthetic_v2
synthetic_v2_试验检测缺失_0203,二次设备专业直流系统在运维监督环节中，直流系统预防性试验仅覆盖部分图纸一致性，其余项目未见补测。,试验检测缺失,直流系统,二次设备,运维监督,2025-11-24,变电运维站,synthetic_v2
synthetic_v2_试验检测缺失_0119,复核时发现，报告中已写明整改计划但未说明完成时间，但架空线路联调联试虽已立项，但关键项目实际未实施。,试验检测缺失,架空线路,输电,竣工验收,2025-10-16,试验班,synthetic_v2
synthetic_v2_试验检测缺失_0070,接地网核容试验相关资料表面齐全，实际情况是：隐蔽验收后接地网仍未补做核容试验。,试验检测缺失,接地网,土建,隐蔽验收,2024-09-18,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0215,土建专业接地网在隐蔽验收环节中，接地网投运验收时未核对专项复验项即出具通过意见。,验收把关不严,接地网,土建,隐蔽验收,2024-08-12,配电工程部,synthetic_v2
synthetic_v2_标准执行不到位_0113,复核时发现，联调联试环节已安排检查，但现场仍以经验替代标准条款。,标准执行不到位,防误闭锁装置,,联调联试,2025-11-10,营销运维班,synthetic_v2
synthetic_v2_试验检测缺失_0216,现场抽查发现，继电保护装置联调联试执行到一半即结束，关键工况未覆盖。,试验检测缺失,继电保护装置,二次设备,,2024-08-25,运检一班,synthetic_v2
synthetic_v2_试验检测缺失_0175,专项监督中发现，相关台账已补录但未形成有效闭环，但二次回路交接试验记录已形成，但实测项目存在漏检漏试。,试验检测缺失,二次回路,二次设备,技改验收,2024-04-03,运维二班,synthetic_v2
synthetic_v2_试验检测缺失_0182,监督检查显示，功能验收后配电自动化终端仍未补做功能校验。,试验检测缺失,配电自动化终端,配电,功能验收,2025-04-04,运维二班,synthetic_v2
synthetic_v2_试验检测缺失_0136,架空线路耐压试验相关资料表面齐全，实际情况是：架空线路耐压试验虽已立项，但关键项目实际未实施。,试验检测缺失,架空线路,输电,日常巡检,2025-08-30,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0270,二次设备专业直流系统在运维监督环节中，直流系统巡检台账仅保留结论，未附对应检查明细。,记录台账不规范,直流系统,二次设备,运维监督,2024-04-23,继保班,synthetic_v2
synthetic_v2_标准执行不到位_0145,二次设备专业防误闭锁装置在改造验收环节中，防误闭锁装置相关工作已开展，但见证点要求未按现行标准执行。,标准执行不到位,防误闭锁装置,,改造验收,2025-07-25,运维二班,synthetic_v2
synthetic_v2_试验检测缺失_0017,GIS设备局放检测相关资料表面齐全，实际情况是：交接验收后GIS设备仍未补做局放检测。,试验检测缺失,GIS设备,一次设备,交接验收,2025-02-20,检修中心,synthetic_v2
synthetic_v2_标准执行不到位_0064,二次回路核容试验相关资料表面齐全，实际情况是：二次回路相关工作已开展，但判定口径未按现行标准执行。,标准执行不到位,二次回路,二次设备,现场作业,2025-08-08,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0003,设备检修部反馈，继电保护装置相关资料虽已提交，但验收把关流于形式；同时现场人员表示后续计划补测。,验收把关不严,继电保护装置,二次设备,工程验收,2024-06-04,设备检修部,synthetic_v2
synthetic_v2_记录台账不规范_0168,运维二班反馈，直流系统巡检台账缺少责任人，无法支撑后续追溯；同时验收资料已提交但未说明复核依据。,记录台账不规范,直流系统,二次设备,日常巡检,2024-03-04,运维二班,synthetic_v2
synthetic_v2_验收把关不严_0064,运维二班反馈，改造验收结束后未组织专项复验即完成验收签认；同时现场人员表示后续计划补测。,验收把关不严,防误闭锁装置,二次设备,改造验收,2024-08-22,运维二班,synthetic_v2
synthetic_v2_记录台账不规范_0244,一次设备专业避雷器在在线监测环节中，避雷器核容试验已实施，但验收问题清单关键信息缺失。,记录台账不规范,避雷器,一次设备,在线监测,2024-09-22,试验班,synthetic_v2
synthetic_v2_试验检测缺失_0292,复核时发现，开关柜核容试验虽已立项，但关键项目实际未实施。,试验检测缺失,,配电,交接验收,2024-03-14,变电运维站,synthetic_v2
synthetic_v2_标准执行不到位_0167,配电专业配电自动化终端在运行维护环节中，配电自动化终端功能校验虽已完成，但双签要求仍沿用旧版要求。,标准执行不到位,配电自动化终端,配电,,2024-04-06,检修中心,synthetic_v2
synthetic_v2_验收把关不严_0287,检修中心反馈，接地网相关资料虽已提交，但验收把关流于形式；同时班组口头说明此前一直按旧版要求执行。,验收把关不严,接地网,土建,,2024-10-13,检修中心,synthetic_v2
synthetic_v2_记录台账不规范_0035,监督检查显示，验收资料已提交但未说明复核依据，但主变压器试验报告仅保留结论，未附对应检查明细。,记录台账不规范,主变压器,一次设备,状态监测,2025-04-13,试验班,synthetic_v2
synthetic_v2_验收把关不严_0109,专项监督中发现，避雷器联动验收时未核对见证资料即出具通过意见。,验收把关不严,避雷器,一次设备,,2025-10-22,运检一班,synthetic_v2
synthetic_v2_记录台账不规范_0234,试验班反馈，缺陷处理形成的验收问题清单存在漏填漏签问题；同时相关台账已补录但未形成有效闭环。,记录台账不规范,断路器,一次设备,缺陷处理,2024-05-26,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0214,二次设备专业直流系统在日常巡检环节中，日常巡检形成的原始记录存在漏填漏签问题。,记录台账不规范,直流系统,二次设备,,2025-02-12,配电工程部,synthetic_v2
synthetic_v2_标准执行不到位_0168,试验班反馈，断路器相关工作已开展，但双签要求未按现行标准执行；同时班组口头说明此前一直按旧版要求执行。,标准执行不到位,断路器,一次设备,缺陷处理,2025-01-16,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0140,复核时发现，在线监测形成的异常处置单存在漏填漏签问题。,记录台账不规范,避雷器,一次设备,在线监测,2025-05-29,配电工程部,synthetic_v2
synthetic_v2_验收把关不严_0247,营销运维班反馈，直流系统相关资料虽已提交，但验收把关流于形式；同时现场人员表示后续计划补测。,验收把关不严,直流系统,二次设备,运维监督,2024-03-19,营销运维班,synthetic_v2
synthetic_v2_验收把关不严_0176,运检一班反馈，在线监测结束后未组织专项复验即完成验收签认；同时相关台账已补录但未形成有效闭环。,验收把关不严,避雷器,一次设备,在线监测,2025-03-20,运检一班,synthetic_v2
synthetic_v2_标准执行不到位_0098,专项监督中发现，异常处置环节已安排检查，但现场仍以经验替代标准条款。,标准执行不到位,避雷器,一次设备,异常处置,2025-07-16,输电运检室,synthetic_v2
synthetic_v2_记录台账不规范_0194,专项监督中发现，开关柜巡检台账缺少时间戳，无法支撑后续追溯。,记录台账不规范,开关柜,配电,投运验收,2025-08-18,设备管理部,synthetic_v2
synthetic_v2_记录台账不规范_0251,现场抽查发现，班组口头说明此前一直按旧版要求执行，但断路器耐压试验已实施，但原始记录关键信息缺失。,记录台账不规范,断路器,一次设备,试验检测,2024-11-04,检修中心,synthetic_v2
synthetic_v2_记录台账不规范_0052,检修中心反馈，避雷器原始记录仅保留结论，未附对应检查明细；同时现场人员表示后续计划补测。,记录台账不规范,避雷器,一次设备,在线监测,2025-08-12,检修中心,synthetic_v2
synthetic_v2_记录台账不规范_0055,二次设备专业直流系统在运维监督环节中，直流系统操作记录与现场时间不一致，且未签字确认。,记录台账不规范,直流系统,二次设备,运维监督,2024-04-25,输电运检室,synthetic_v2
synthetic_v2_试验检测缺失_0257,一次设备专业断路器在试验检测环节中，断路器功能校验仅覆盖部分关键试验结果，其余项目未见补测。,试验检测缺失,断路器,,试验检测,2025-02-23,输电运检室,synthetic_v2
synthetic_v2_记录台账不规范_0076,避雷器预防性试验相关资料表面齐全，实际情况是：避雷器验收问题清单缺少时间戳，无法支撑后续追溯。,记录台账不规范,避雷器,一次设备,异常处置,2025-02-08,变电运维站,synthetic_v2
synthetic_v2_标准执行不到位_0272,配电专业开关柜在投运验收环节中，开关柜相关工作已开展，但填报模板未按现行标准执行。,标准执行不到位,,配电,投运验收,2025-09-06,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0161,继保班反馈，架空线路投运验收未覆盖关键见证点仍予放行；同时相关台账已补录但未形成有效闭环。,验收把关不严,,,日常巡检,2024-02-07,继保班,synthetic_v2
synthetic_v2_试验检测缺失_0159,配电工程部反馈，接地网耐压试验记录已形成，但实测项目存在漏检漏试；同时班组口头说明此前一直按旧版要求执行。,试验检测缺失,接地网,土建,整改复验,2025-06-21,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0143,现场抽查发现，相关台账已补录但未形成有效闭环，但避雷器核容试验已实施，但巡检台账关键信息缺失。,记录台账不规范,避雷器,一次设备,在线监测,2024-12-21,继保班,synthetic_v2
synthetic_v2_试验检测缺失_0158,班组自查反映，报告中已写明整改计划但未说明完成时间，但避雷器功能校验记录已形成，但实测项目存在漏检漏试。,试验检测缺失,避雷器,,试验检测,2025-11-07,检修中心,synthetic_v2
synthetic_v2_标准执行不到位_0152,避雷器耐压试验相关资料表面齐全，实际情况是：避雷器耐压试验虽已完成，但填报模板仍沿用旧版要求。,标准执行不到位,避雷器,,异常处置,2024-01-24,变电运维站,synthetic_v2
synthetic_v2_记录台账不规范_0155,试验班反馈，定期检验形成的验收问题清单存在漏填漏签问题；同时班组口头说明此前一直按旧版要求执行。,记录台账不规范,继电保护装置,二次设备,定期检验,2025-08-03,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0246,专项监督中发现，现场人员表示后续计划补测，但试验检测形成的巡检台账存在漏填漏签问题。,记录台账不规范,电缆线路,输电,试验检测,2024-08-11,试验班,synthetic_v2
synthetic_v2_标准执行不到位_0280,架空线路预防性试验相关资料表面齐全，实际情况是：架空线路执行周期落实不到位，班组未完成新标准切换。,标准执行不到位,架空线路,输电,日常巡检,2024-07-31,运检一班,synthetic_v2
synthetic_v2_记录台账不规范_0290,二次设备专业直流系统在试验检测环节中，直流系统核容试验已实施，但试验报告关键信息缺失。,记录台账不规范,直流系统,二次设备,试验检测,2025-05-19,试验班,synthetic_v2
synthetic_v2_验收把关不严_0182,一次设备专业避雷器在在线监测环节中，避雷器功能验收仅抽查部分图纸一致性便办理验收。,验收把关不严,,一次设备,在线监测,2025-05-17,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0281,避雷器核容试验相关资料表面齐全，实际情况是：避雷器巡检台账与现场时间不一致，且未签字确认。,记录台账不规范,避雷器,一次设备,,2025-01-06,基建项目部,synthetic_v2
synthetic_v2_验收把关不严_0063,试验班反馈，继电保护装置相关资料虽已提交，但验收把关流于形式；同时相关台账已补录但未形成有效闭环。,验收把关不严,继电保护装置,二次设备,,2024-10-18,试验班,synthetic_v2
synthetic_v2_试验检测缺失_0127,检修中心反馈，电缆线路耐压试验仅覆盖部分见证资料，其余项目未见补测；同时报告中已写明整改计划但未说明完成时间。,试验检测缺失,电缆线路,输电,检修验收,2025-10-02,检修中心,synthetic_v2
synthetic_v2_试验检测缺失_0096,班组自查反映，报告中已写明整改计划但未说明完成时间，但运行操作后继电保护装置仍未补做耐压试验。,试验检测缺失,继电保护装置,二次设备,运行操作,2024-08-14,输电运检室,synthetic_v2
synthetic_v2_试验检测缺失_0206,配电专业配电自动化终端在到货验收环节中，到货验收后配电自动化终端仍未补做交接试验。,试验检测缺失,配电自动化终端,配电,到货验收,2025-01-30,设备检修部,synthetic_v2
synthetic_v2_标准执行不到位_0277,设备管理部反馈，避雷器填报模板落实不到位，班组未完成新标准切换；同时相关台账已补录但未形成有效闭环。,标准执行不到位,避雷器,一次设备,在线监测,2025-01-22,设备管理部,synthetic_v2
synthetic_v2_试验检测缺失_0197,输电专业架空线路在日常巡检环节中，日常巡检后架空线路仍未补做局放检测。,试验检测缺失,架空线路,输电,日常巡检,2025-10-04,试验班,synthetic_v2
synthetic_v2_标准执行不到位_0066,二次设备专业直流系统在日常巡检环节中，直流系统填报模板落实不到位，班组未完成新标准切换。,标准执行不到位,直流系统,二次设备,日常巡检,2024-12-22,输电运检室,synthetic_v2
synthetic_v2_记录台账不规范_0265,二次设备专业继电保护装置在定期检验环节中，继电保护装置验收问题清单缺少签字页，无法支撑后续追溯。,记录台账不规范,继电保护装置,,定期检验,2024-07-31,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0058,班组自查反映，隐蔽验收形成的巡检台账存在漏填漏签问题。,记录台账不规范,接地网,土建,,2025-04-26,继保班,synthetic_v2
synthetic_v2_验收把关不严_0096,二次设备专业继电保护装置在定期检验环节中，继电保护装置隐蔽验收时未核对关键试验结果即出具通过意见。,验收把关不严,,二次设备,定期检验,2025-05-13,继保班,synthetic_v2
synthetic_v2_记录台账不规范_0057,班组自查反映，报告中已写明整改计划但未说明完成时间，但到货验收形成的原始记录存在漏填漏签问题。,记录台账不规范,开关柜,配电,,2024-12-29,配电工程部,synthetic_v2
synthetic_v2_标准执行不到位_0192,防误闭锁装置核容试验相关资料表面齐全，实际情况是：改造验收环节已安排检查，但现场仍以经验替代标准条款。,标准执行不到位,防误闭锁装置,二次设备,改造验收,2024-06-03,继保班,synthetic_v2
synthetic_v2_试验检测缺失_0133,班组自查反映，报告中已写明整改计划但未说明完成时间，但检修验收后断路器仍未补做联调联试。,试验检测缺失,断路器,,检修验收,2025-01-09,营销运维班,synthetic_v2
synthetic_v2_试验检测缺失_0150,营销运维班反馈，断路器耐压试验虽已立项，但关键项目实际未实施；同时班组口头说明此前一直按旧版要求执行。,试验检测缺失,断路器,一次设备,检修验收,2025-09-12,营销运维班,synthetic_v2
synthetic_v2_试验检测缺失_0263,继保班反馈，开关柜交接试验执行到一半即结束，关键工况未覆盖；同时验收资料已提交但未说明复核依据。,试验检测缺失,开关柜,配电,到货验收,2025-10-07,继保班,synthetic_v2
synthetic_v2_验收把关不严_0172,监督检查显示，架空线路隐蔽验收未覆盖关键见证点仍予放行。,验收把关不严,架空线路,输电,,2025-01-11,试验班,synthetic_v2
synthetic_v2_标准执行不到位_0220,一次设备专业GIS设备在试验检测环节中，GIS设备相关工作已开展，但判定口径未按现行标准执行。,标准执行不到位,GIS设备,,试验检测,2024-10-31,营销运维班,synthetic_v2
synthetic_v2_标准执行不到位_0118,配电自动化终端局放检测相关资料表面齐全，实际情况是：配电自动化终端并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,配电自动化终端,配电,到货验收,2024-06-20,运检一班,synthetic_v2
synthetic_v2_记录台账不规范_0254,二次回路联调联试相关资料表面齐全，实际情况是：二次回路原始记录仅保留结论，未附对应检查明细。,记录台账不规范,,二次设备,,2025-05-28,输电运检室,synthetic_v2
synthetic_v2_标准执行不到位_0205,一次设备专业避雷器在异常处置环节中，异常处置环节已安排检查，但现场仍以经验替代标准条款。,标准执行不到位,避雷器,一次设备,异常处置,2024-10-16,继保班,synthetic_v2
synthetic_v2_记录台账不规范_0117,直流系统局放检测相关资料表面齐全，实际情况是：直流系统原始记录与现场时间不一致，且未签字确认。,记录台账不规范,直流系统,二次设备,,2025-10-21,基建项目部,synthetic_v2
synthetic_v2_标准执行不到位_0136,断路器功能校验相关资料表面齐全，实际情况是：断路器功能校验虽已完成，但判定口径仍沿用旧版要求。,标准执行不到位,断路器,一次设备,缺陷处理,2024-02-08,营销运维班,synthetic_v2
synthetic_v2_试验检测缺失_0210,配电自动化终端耐压试验相关资料表面齐全，实际情况是：运行维护后配电自动化终端仍未补做耐压试验。,试验检测缺失,配电自动化终端,配电,运行维护,2024-06-19,试验班,synthetic_v2
synthetic_v2_验收把关不严_0006,二次设备专业二次回路在技改验收环节中，二次回路隐蔽验收时未核对专项复验项即出具通过意见。,验收把关不严,二次回路,二次设备,技改验收,2025-11-04,继保班,synthetic_v2
synthetic_v2_标准执行不到位_0279,接地网功能校验相关资料表面齐全，实际情况是：接地网并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,接地网,土建,整改复验,2025-05-25,输电运检室,synthetic_v2
synthetic_v2_记录台账不规范_0130,现场抽查发现，改造验收形成的验收问题清单存在漏填漏签问题。,记录台账不规范,防误闭锁装置,二次设备,改造验收,2024-11-30,基建项目部,synthetic_v2
synthetic_v2_记录台账不规范_0038,监督检查显示，接地网原始记录缺少复验结论，无法支撑后续追溯。,记录台账不规范,,土建,整改复验,2025-11-17,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0296,监督检查显示，配电自动化终端操作记录缺少时间戳，无法支撑后续追溯。,记录台账不规范,配电自动化终端,配电,功能验收,2025-07-25,输电运检室,synthetic_v2
synthetic_v2_标准执行不到位_0273,二次设备专业防误闭锁装置在改造验收环节中，防误闭锁装置并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,防误闭锁装置,二次设备,改造验收,2025-10-16,运检一班,synthetic_v2
synthetic_v2_试验检测缺失_0217,架空线路预防性试验相关资料表面齐全，实际情况是：缺陷管理后架空线路仍未补做预防性试验。,试验检测缺失,架空线路,输电,,2025-11-09,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0177,班组自查反映，试验检测形成的验收问题清单存在漏填漏签问题。,记录台账不规范,主变压器,一次设备,试验检测,2025-07-01,继保班,synthetic_v2
synthetic_v2_标准执行不到位_0185,监督检查显示，开关柜相关工作已开展，但判定口径未按现行标准执行。,标准执行不到位,开关柜,配电,投运验收,2025-10-02,运检一班,synthetic_v2
synthetic_v2_验收把关不严_0260,继保班反馈，接地网投运验收仅抽查部分图纸一致性便办理验收；同时报告中已写明整改计划但未说明完成时间。,验收把关不严,接地网,土建,,2024-05-30,继保班,synthetic_v2
synthetic_v2_标准执行不到位_0084,班组自查反映，继电保护装置并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,继电保护装置,二次设备,运行操作,2024-10-22,设备检修部,synthetic_v2
synthetic_v2_标准执行不到位_0108,二次回路预防性试验相关资料表面齐全，实际情况是：二次回路并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,二次回路,二次设备,,2024-02-01,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0196,避雷器预防性试验相关资料表面齐全，实际情况是：避雷器验收问题清单与现场时间不一致，且未签字确认。,记录台账不规范,,一次设备,,2025-01-05,继保班,synthetic_v2
synthetic_v2_验收把关不严_0152,复核时发现，架空线路检修验收时未核对关键风险点即出具通过意见。,验收把关不严,架空线路,输电,缺陷管理,2025-03-23,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0235,复核时发现，报告中已写明整改计划但未说明完成时间，但继电保护装置相关资料虽已提交，但验收把关流于形式。,验收把关不严,继电保护装置,二次设备,定期检验,2024-12-19,配电工程部,synthetic_v2
synthetic_v2_记录台账不规范_0077,断路器核容试验相关资料表面齐全，实际情况是：断路器核容试验已实施，但试验报告关键信息缺失。,记录台账不规范,断路器,一次设备,试验检测,2025-05-17,基建项目部,synthetic_v2
synthetic_v2_标准执行不到位_0197,配电工程部反馈，继电保护装置并非未做工作，而是执行口径与现行标准不一致；同时验收资料已提交但未说明复核依据。,标准执行不到位,继电保护装置,二次设备,工程验收,2024-09-17,配电工程部,synthetic_v2
synthetic_v2_试验检测缺失_0247,一次设备专业主变压器在试验检测环节中，试验检测后主变压器仍未补做联调联试。,试验检测缺失,主变压器,一次设备,试验检测,2024-07-24,继保班,synthetic_v2
synthetic_v2_验收把关不严_0017,专项监督中发现，电缆线路相关资料虽已提交，但验收把关流于形式。,验收把关不严,电缆线路,输电,隐患排查,2024-09-30,基建项目部,synthetic_v2
synthetic_v2_记录台账不规范_0005,现场抽查发现，验收资料已提交但未说明复核依据，但整改复验形成的操作记录存在漏填漏签问题。,记录台账不规范,接地网,土建,,2025-05-30,继保班,synthetic_v2
synthetic_v2_试验检测缺失_0283,运检一班反馈，配电自动化终端联调联试记录已形成，但实测项目存在漏检漏试；同时班组口头说明此前一直按旧版要求执行。,试验检测缺失,配电自动化终端,配电,运行维护,2025-01-02,运检一班,synthetic_v2
synthetic_v2_标准执行不到位_0132,试验班反馈，接地网填报模板落实不到位，班组未完成新标准切换；同时现场人员表示后续计划补测。,标准执行不到位,接地网,土建,现场检查,2024-04-09,试验班,synthetic_v2
synthetic_v2_记录台账不规范_0252,监督检查显示，现场人员表示后续计划补测，但二次回路验收问题清单缺少签字页，无法支撑后续追溯。,记录台账不规范,二次回路,二次设备,现场作业,2025-07-17,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0057,输电专业电缆线路在试验检测环节中，电缆线路投运验收未覆盖关键见证点仍予放行。,验收把关不严,,输电,试验检测,2024-11-17,变电运维站,synthetic_v2
synthetic_v2_试验检测缺失_0039,避雷器局放检测相关资料表面齐全，实际情况是：避雷器局放检测仅覆盖部分见证资料，其余项目未见补测。,试验检测缺失,避雷器,一次设备,试验检测,2024-10-06,继保班,synthetic_v2
synthetic_v2_记录台账不规范_0250,现场抽查发现，验收资料已提交但未说明复核依据，但架空线路试验报告与现场时间不一致，且未签字确认。,记录台账不规范,架空线路,输电,,2024-07-22,设备管理部,synthetic_v2
synthetic_v2_标准执行不到位_0102,试验班反馈，防误闭锁装置功能校验虽已完成，但填报模板仍沿用旧版要求；同时验收资料已提交但未说明复核依据。,标准执行不到位,防误闭锁装置,二次设备,改造验收,2024-12-22,试验班,synthetic_v2
synthetic_v2_标准执行不到位_0209,一次设备专业GIS设备在试验检测环节中，GIS设备双签要求落实不到位，班组未完成新标准切换。,标准执行不到位,GIS设备,一次设备,试验检测,2024-05-10,运检一班,synthetic_v2
synthetic_v2_标准执行不到位_0038,检修中心反馈，断路器并非未做工作，而是执行口径与现行标准不一致；同时验收资料已提交但未说明复核依据。,标准执行不到位,断路器,一次设备,缺陷处理,2024-01-30,检修中心,synthetic_v2
synthetic_v2_标准执行不到位_0204,班组自查反映，验收资料已提交但未说明复核依据，但GIS设备核容试验虽已完成，但判定口径仍沿用旧版要求。,标准执行不到位,GIS设备,一次设备,试验检测,2024-09-25,继保班,synthetic_v2
synthetic_v2_记录台账不规范_0288,专项监督中发现，日常巡检形成的异常处置单存在漏填漏签问题。,记录台账不规范,,输电,日常巡检,2025-04-20,设备检修部,synthetic_v2
synthetic_v2_记录台账不规范_0284,复核时发现，班组口头说明此前一直按旧版要求执行，但电缆线路原始记录仅保留结论，未附对应检查明细。,记录台账不规范,电缆线路,输电,检修验收,2025-05-10,检修中心,synthetic_v2
synthetic_v2_验收把关不严_0026,GIS设备局放检测相关资料表面齐全，实际情况是：GIS设备功能验收仅抽查部分见证资料便办理验收。,验收把关不严,GIS设备,一次设备,,2024-05-23,试验班,synthetic_v2
synthetic_v2_标准执行不到位_0196,班组自查反映，现场人员表示后续计划补测，但配电自动化终端并非未做工作，而是执行口径与现行标准不一致。,标准执行不到位,配电自动化终端,,运行维护,2025-05-23,试验班,synthetic_v2
synthetic_v2_验收把关不严_0095,架空线路交接试验相关资料表面齐全，实际情况是：架空线路相关资料虽已提交，但验收把关流于形式。,验收把关不严,架空线路,输电,缺陷管理,2024-04-07,继保班,synthetic_v2
synthetic_v2_记录台账不规范_0192,一次设备专业GIS设备在设备检修环节中，GIS设备巡检台账仅保留结论，未附对应检查明细。,记录台账不规范,,一次设备,设备检修,2024-08-30,运维二班,synthetic_v2
synthetic_v2_试验检测缺失_0169,现场抽查发现，GIS设备功能校验记录已形成，但实测项目存在漏检漏试。,试验检测缺失,GIS设备,一次设备,,2025-04-15,配电工程部,synthetic_v2
synthetic_v2_验收把关不严_0164,专项监督中发现，试验检测结束后未组织专项复验即完成验收签认。,验收把关不严,电缆线路,输电,试验检测,2025-07-20,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0283,土建专业接地网在现场检查环节中，现场检查结束后未组织专项复验即完成验收签认。,验收把关不严,接地网,土建,现场检查,2025-09-12,试验班,synthetic_v2
synthetic_v2_验收把关不严_0121,监督检查显示，异常处置结束后未组织专项复验即完成验收签认。,验收把关不严,避雷器,一次设备,异常处置,2024-01-02,设备检修部,synthetic_v2
synthetic_v2_验收把关不严_0233,设备管理部反馈，接地网投运验收未覆盖关键见证点仍予放行；同时报告中已写明整改计划但未说明完成时间。,验收把关不严,接地网,土建,现场检查,2025-10-23,设备管理部,synthetic_v2
